text_per_tr	words_per_tr	onsets_per_tr	durations_per_tr
Come on, Daddy, listen to 	['Come', 'on,', 'Daddy,', 'listen', 'to']	[387.53, 387.868, 388.028, 388.482, 388.732]	[0.316, 0.138, 0.406, 0.212, 0.154]
me. It's 	"['me.', ""It's""]"	[388.908, 389.58]	[0.522, 0.374]
like it's like all of 	"['like', ""it's"", 'like', 'all', 'of']"	[390.002, 390.764, 391.218, 391.452, 391.628]	[0.596, 0.422, 0.196, 0.154, 0.138]
my life everyone has always 	['my', 'life', 'everyone', 'has', 'always']	[391.788, 392.012, 392.38, 392.716, 392.908]	[0.186, 0.298, 0.282, 0.17, 0.186]
told me, you're a 	"['told', 'me,', ""you're"", 'a']"	[393.132, 393.436, 393.884, 394.178]	[0.25, 0.362, 0.262, 0.148]
shoe. You're a shoe. 	"['shoe.', ""You're"", 'a', 'shoe.']"	[394.348, 395.298, 395.698, 395.868]	[0.758, 0.368, 0.148, 0.326]
You're a shoe. You're a shoe. 	"[""You're"", 'a', 'shoe.', ""You're"", 'a', 'shoe.']"	[396.242, 396.514, 396.668, 396.994, 397.238, 397.408]	[0.256, 0.132, 0.29, 0.212, 0.148, 0.342]
And then today I just stopped and I 	['And', 'then', 'today', 'I', 'just', 'stopped', 'and', 'I']	[397.83, 398.048, 398.208, 398.432, 398.544, 398.688, 398.998, 399.168]	[0.196, 0.138, 0.186, 0.106, 0.122, 0.278, 0.148, 0.138]
said what if I don't want to be a 	"['said', 'what', 'if', 'I', ""don't"", 'want', 'to', 'be', 'a']"	[399.328, 399.68, 399.888, 399.984, 400.128, 400.224, 400.368, 400.464, 400.544]	[0.282, 0.186, 0.09, 0.122, 0.09, 0.122, 0.09, 0.074, 0.122]
shoe? What if I want to 	['shoe?', 'What', 'if', 'I', 'want', 'to']	[400.688, 401.254, 401.488, 401.648, 401.744, 401.888]	[0.47, 0.212, 0.138, 0.09, 0.122, 0.09]
be a purse? 	['be', 'a', 'purse?']	[401.984, 402.576, 402.912]	[0.458, 0.298, 0.618]
Or a 	['Or', 'a']	[404.75, 405.088]	[0.316, 0.15]
hat? 	['hat?']	[405.264]	[0.686]
No, I don't want you 	"['No,', 'I', ""don't"", 'want', 'you']"	[407.33, 407.668, 407.764, 407.914, 408.004]	[0.316, 0.09, 0.134, 0.084, 0.122]
to buy me a hat. I'm saying that I am 	"['to', 'buy', 'me', 'a', 'hat.', ""I'm"", 'saying', 'that', 'I', 'am']"	[408.148, 408.308, 408.468, 408.628, 408.724, 408.938, 409.178, 409.348, 409.444, 409.588]	[0.138, 0.138, 0.138, 0.09, 0.182, 0.208, 0.148, 0.09, 0.122, 0.138]
a hat. It's a metaphor, 	"['a', 'hat.', ""It's"", 'a', 'metaphor,']"	[409.748, 409.844, 410.122, 410.314, 410.468]	[0.09, 0.23, 0.176, 0.132, 0.438]
Daddy. 	['Daddy.']	[410.938]	[0.772]
You 	['You']	[413.89]	[0.316]
can see where you'd have 	"['can', 'see', 'where', ""you'd"", 'have']"	[414.228, 414.388, 414.612, 414.788, 414.954]	[0.138, 0.186, 0.154, 0.15, 0.18]
trouble. 	['trouble.']	[415.172]	[0.698]
	[]	[]	[]
Look, Daddy, 	['Look,', 'Daddy,']	[419.11, 419.512]	[0.364, 0.422]
it's my life. 	"[""it's"", 'my', 'life.']"	[419.982, 420.238, 420.472]	[0.224, 0.196, 0.588]
Well, 	['Well,']	[422.63]	[0.364]
maybe I'll just stay here with 	"['maybe', ""I'll"", 'just', 'stay', 'here', 'with']"	[423.032, 423.272, 423.454, 423.672, 423.912, 424.088]	[0.202, 0.166, 0.18, 0.202, 0.154, 0.138]
Monica. 	['Monica.']	[424.248]	[0.922]
	[]	[]	[]
Well, I guess we've 	"['Well,', 'I', 'guess', ""we've""]"	[427.91, 428.312, 428.424, 428.568]	[0.364, 0.106, 0.122, 0.198]
established she's staying here with 	"['established', ""she's"", 'staying', 'here', 'with']"	[428.798, 429.214, 429.454, 429.614, 429.768]	[0.4, 0.224, 0.144, 0.132, 0.138]
Monica. 	['Monica.']	[429.928]	[0.762]
Well, maybe that's my 	"['Well,', 'maybe', ""that's"", 'my']"	[431.93, 432.268, 432.556, 432.818]	[0.316, 0.234, 0.23, 0.244]
decision. 	['decision.']	[433.116]	[0.714]
Well, maybe I don't 	"['Well,', 'maybe', 'I', ""don't""]"	[435.37, 435.772, 436.076, 436.268]	[0.364, 0.25, 0.17, 0.138]
need your money. 	['need', 'your', 'money.']	[436.428, 436.652, 436.956]	[0.186, 0.25, 0.65]
Wait. I said maybe. 	['Wait.', 'I', 'said', 'maybe.']	[437.788, 438.3, 438.444, 438.652]	[0.442, 0.138, 0.17, 0.588]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
It's 	"[""It's""]"	[447.61]	[0.78]
breathe. 	['breathe.']	[448.99]	[0.776]
Breathe. That's it. Just 	"['Breathe.', ""That's"", 'it.', 'Just']"	[449.878, 450.214, 450.454, 451.12]	[0.32, 0.224, 0.516, 0.314]
try to think of nice, 	['try', 'to', 'think', 'of', 'nice,']	[451.472, 451.648, 451.744, 451.888, 452.112]	[0.154, 0.09, 0.122, 0.186, 0.346]
calm things. 	['calm', 'things.']	[452.544, 453.126]	[0.518, 0.614]
Raindrops on 	['Raindrops', 'on']	[454.11, 455.078]	[0.916, 0.264]
roses and 	['roses', 'and']	[455.396, 456.026]	[0.566, 0.614]
	[]	[]	[]
doorbells and sleigh bells 	['doorbells', 'and', 'sleigh', 'bells']	[458.21, 459.018, 459.316, 459.658]	[0.776, 0.244, 0.31, 0.416]
and sing with 	['and', 'sing', 'with']	[460.122, 460.948, 461.396]	[0.644, 0.394, 0.266]
mittens 	['mittens']	[461.716]	[0.794]
something 	['something']	[463.97]	[0.556]
and noodles with 	['and', 'noodles', 'with']	[464.628, 464.996, 465.546]	[0.314, 0.486, 0.276]
strings I'm all 	"['strings', ""I'm"", 'all']"	[465.876, 467.25, 467.594]	[0.714, 0.328, 0.144]
better now. 	['better', 'now.']	[467.764, 467.992]	[0.19, 0.588]
	[]	[]	[]
I have 	['I', 'have']	[470.87, 471.272]	[0.364, 0.588]
	[]	[]	[]
okay, 	['okay,']	[474.55]	[0.364]
look, this is probably for the best. You 	['look,', 'this', 'is', 'probably', 'for', 'the', 'best.', 'You']	[474.952, 475.448, 475.688, 475.848, 476.072, 476.184, 476.328, 476.616]	[0.394, 0.218, 0.138, 0.186, 0.106, 0.122, 0.234, 0.17]
know, 	['know,']	[476.808]	[0.572]
independence, taking control 	['independence,', 'taking', 'control']	[477.83, 479.102, 479.432]	[1.144, 0.292, 0.298]
of your life. The 	['of', 'your', 'life.', 'The']	[479.8, 479.944, 480.168, 480.732]	[0.138, 0.182, 0.446, 0.234]
whole hat thing. 	['whole', 'hat', 'thing.']	[480.988, 481.596, 482.082]	[0.474, 0.438, 0.404]
And hey, you need 	['And', 'hey,', 'you', 'need']	[482.588, 482.892, 483.58, 483.932]	[0.266, 0.538, 0.314, 0.202]
anything, you can 	['anything,', 'you', 'can']	[484.172, 484.988, 485.308]	[0.634, 0.298, 0.138]
always come to Joey. 	['always', 'come', 'to', 'Joey.']	[485.468, 485.82, 486.028, 486.252]	[0.282, 0.186, 0.186, 0.662]
Me and Chandler live right across the 	['Me', 'and', 'Chandler', 'live', 'right', 'across', 'the']	[487.042, 487.308, 487.468, 487.874, 488.092, 488.268, 488.556]	[0.244, 0.138, 0.39, 0.18, 0.154, 0.234, 0.122]
hall, and he's away 	"['hall,', 'and', ""he's"", 'away']"	[488.684, 489.362, 489.628, 489.858]	[0.55, 0.244, 0.198, 0.196]
a lot. 	['a', 'lot.']	[490.092, 490.268]	[0.154, 0.572]
Joey, 	['Joey,']	[492.43]	[0.504]
stop hitting on her. It's her 	"['stop', 'hitting', 'on', 'her.', ""It's"", 'her']"	[492.982, 493.296, 493.638, 493.808, 493.968, 494.198]	[0.26, 0.31, 0.148, 0.138, 0.198, 0.148]
wedding day. What, like 	['wedding', 'day.', 'What,', 'like']	[494.368, 494.758, 495.44, 495.856]	[0.358, 0.532, 0.362, 0.17]
there's a rule or something? 	"[""there's"", 'a', 'rule', 'or', 'something?']"	[496.048, 496.294, 496.448, 496.742, 496.928]	[0.23, 0.132, 0.246, 0.164, 0.572]
	[]	[]	[]
	[]	[]	[]
I got it. 	['I', 'got', 'it.']	[500.59, 500.992, 501.232]	[0.364, 0.202, 0.588]
	[]	[]	[]
Please don't do that again. It's 	"['Please', ""don't"", 'do', 'that', 'again.', ""It's""]"	[503.23, 503.824, 504.118, 504.288, 504.512, 504.816]	[0.508, 0.262, 0.148, 0.186, 0.25, 0.23]
a horrible sound. 	['a', 'horrible', 'sound.']	[505.078, 505.2, 505.642]	[0.112, 0.394, 0.598]
It's 	"[""It's""]"	[507.65]	[0.424]
Paul. Oh, God. 	['Paul.', 'Oh,', 'God.']	[508.122, 508.826, 509.172]	[0.56, 0.308, 0.346]
Is it 630? 	['Is', 'it', '630?']	[509.604, 509.828, 509.988]	[0.202, 0.138, 0.812]
Buz him in. 	['Buz', 'him', 'in.']	[511.49, 511.898, 512.132]	[0.376, 0.196, 0.298]
Who's Paul? Paul, the wine 	"[""Who's"", 'Paul?', 'Paul,', 'the', 'wine']"	[512.5, 512.922, 513.306, 513.578, 513.748]	[0.374, 0.32, 0.24, 0.148, 0.278]
guy, Paul? 	['guy,', 'Paul?']	[514.058, 514.356]	[0.244, 0.742]
Maybe. Wait a minute. You're 	"['Maybe.', 'Wait', 'a', 'minute.', ""You're""]"	[515.274, 515.972, 516.228, 516.388, 516.682]	[0.58, 0.234, 0.138, 0.246, 0.176]
not a real date tonight is with 	['not', 'a', 'real', 'date', 'tonight', 'is', 'with']	[516.874, 517.092, 517.204, 517.476, 517.796, 518.122, 518.324]	[0.18, 0.106, 0.218, 0.266, 0.278, 0.176, 0.142]
Paul, the wine guy? 	['Paul,', 'the', 'wine', 'guy?']	[518.488, 518.862, 519.048, 519.358]	[0.326, 0.164, 0.278, 0.34]
He finally asked you out? 	['He', 'finally', 'asked', 'you', 'out?']	[519.784, 520.072, 520.44, 520.648, 520.872]	[0.25, 0.298, 0.186, 0.186, 0.25]
Yes. Oh, this is a dear 	['Yes.', 'Oh,', 'this', 'is', 'a', 'dear']	[521.176, 521.688, 522.056, 522.248, 522.344, 522.488]	[0.41, 0.314, 0.17, 0.09, 0.122, 0.246]
diary 	['diary']	[522.782]	[0.628]
wait, wait. 	['wait,', 'wait.']	[524.95, 525.48]	[0.46, 0.426]
I can cancel. Oh, 	['I', 'can', 'cancel.', 'Oh,']	[526.008, 526.184, 526.392, 526.91]	[0.17, 0.17, 0.438, 0.244]
God. Please, no, go. I'll be 	"['God.', 'Please,', 'no,', 'go.', ""I'll"", 'be']"	[527.192, 527.56, 527.96, 528.36, 528.568, 528.734]	[0.298, 0.33, 0.33, 0.186, 0.15, 0.18]
fine. 	['fine.']	[528.952]	[0.588]
Ross, are you okay? I mean, do you want me to 	['Ross,', 'are', 'you', 'okay?', 'I', 'mean,', 'do', 'you', 'want', 'me', 'to']	[530.01, 530.498, 530.604, 530.748, 531.036, 531.164, 531.308, 531.468, 531.564, 531.644, 531.788]	[0.456, 0.1, 0.122, 0.234, 0.122, 0.122, 0.138, 0.09, 0.074, 0.122, 0.138]
stay? 	['stay?']	[531.948]	[0.572]
That'd be 	"[""That'd"", 'be']"	[533.61, 534.114]	[0.488, 0.18]
good. 	['good.']	[534.332]	[0.588]
	[]	[]	[]
Really? No, go 	['Really?', 'No,', 'go']	[537.69, 538.348, 538.78]	[0.556, 0.362, 0.282]
on. It's Paul. The wine 	"['on.', ""It's"", 'Paul.', 'The', 'wine']"	[539.116, 539.5, 539.858, 540.098, 540.268]	[0.314, 0.326, 0.208, 0.148, 0.326]
guy? 	['guy?']	[540.642]	[0.598]
Does that mean does he sell it, 	['Does', 'that', 'mean', 'does', 'he', 'sell', 'it,']	[542.09, 542.508, 542.752, 542.928, 543.152, 543.328, 543.552]	[0.376, 0.206, 0.154, 0.186, 0.154, 0.186, 0.202]
drink it, or he just complains a 	['drink', 'it,', 'or', 'he', 'just', 'complains', 'a']	[543.792, 544.038, 544.208, 544.368, 544.464, 544.608, 545.078]	[0.214, 0.148, 0.138, 0.09, 0.122, 0.438, 0.1]
lot? 	['lot?']	[545.184]	[0.556]
Hi. Come 	['Hi.', 'Come']	[547.55, 548.08]	[0.46, 0.234]
in. Paul, this 	['in.', 'Paul,', 'this']	[548.352, 549.04, 549.526]	[0.538, 0.422, 0.18]
is 	['is']	[549.728]	[0.572]
everybody. 	['everybody.']	[551.07]	[0.75]
	[]	[]	[]
	[]	[]	[]
I'm sorry, I didn't catch 	"[""I'm"", 'sorry,', 'I', ""didn't"", 'catch']"	[556.13, 556.538, 556.772, 556.884, 557.034]	[0.376, 0.196, 0.106, 0.134, 0.192]
your name. Paul, was 	['your', 'name.', 'Paul,', 'was']	[557.258, 557.428, 557.716, 558.042]	[0.148, 0.234, 0.278, 0.212]
it? 	['it?']	[558.292]	[0.588]
Okay, 	['Okay,']	[560.77]	[0.7]
I'll be right back. I've just got to 	"[""I'll"", 'be', 'right', 'back.', ""I've"", 'just', 'got', 'to']"	[561.62, 561.914, 562.004, 562.148, 562.308, 562.474, 562.628, 562.724]	[0.278, 0.084, 0.122, 0.138, 0.15, 0.132, 0.09, 0.074]
go a 	['go', 'a']	[562.804, 564.05]	[0.556, 0.316]
wandering. 	['wandering.']	[564.388]	[0.922]
	[]	[]	[]
Change. Okay. Sit down 2 	['Change.', 'Okay.', 'Sit', 'down', '2']	[566.93, 567.924, 568.376, 568.568, 568.92]	[0.808, 0.398, 0.17, 0.282, 0.234]
seconds. 	['seconds.']	[569.192]	[0.698]
	[]	[]	[]
	[]	[]	[]
Oh, I just 	['Oh,', 'I', 'just']	[574.39, 574.728, 574.888]	[0.316, 0.138, 0.138]
pulled out four eyelashes. That 	['pulled', 'out', 'four', 'eyelashes.', 'That']	[575.048, 575.278, 575.448, 575.672, 576.366]	[0.198, 0.148, 0.186, 0.63, 0.18]
can't be good. 	"[""can't"", 'be', 'good.']"	[576.568, 576.798, 576.968]	[0.198, 0.148, 0.572]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
Hey, Paul. 	['Hey,', 'Paul.']	[582.63, 583.032]	[0.364, 0.698]
Here's a little tip. 	"[""Here's"", 'a', 'little', 'tip.']"	[584.07, 584.51, 584.604, 584.812]	[0.42, 0.088, 0.17, 0.438]
She really likes it when 	['She', 'really', 'likes', 'it', 'when']	[585.33, 585.74, 586.14, 586.498, 586.796]	[0.34, 0.33, 0.326, 0.244, 0.17]
you rub her neck in the same 	['you', 'rub', 'her', 'neck', 'in', 'the', 'same']	[586.988, 587.148, 587.378, 587.548, 587.842, 587.964, 588.108]	[0.138, 0.198, 0.148, 0.246, 0.116, 0.122, 0.186]
spot over and over and over 	['spot', 'over', 'and', 'over', 'and', 'over']	[588.332, 588.786, 589.052, 589.292, 589.532, 589.772]	[0.39, 0.228, 0.202, 0.202, 0.202, 0.202]
again till it starts to get a little 	['again', 'till', 'it', 'starts', 'to', 'get', 'a', 'little']	[590.012, 590.252, 590.498, 590.732, 590.978, 591.084, 591.228, 591.324]	[0.202, 0.214, 0.196, 0.214, 0.1, 0.122, 0.09, 0.17]
red. 	['red.']	[591.532]	[0.588]
	[]	[]	[]
	[]	[]	[]
So, 	['So,']	[596.99]	[0.364]
Rachel, what are you up to 	['Rachel,', 'what', 'are', 'you', 'up', 'to']	[597.392, 598.166, 598.384, 598.464, 598.544, 598.688]	[0.63, 0.212, 0.074, 0.074, 0.122, 0.138]
tonight? Well, 	['tonight?', 'Well,']	[598.848, 599.79]	[0.602, 0.508]
I was kind of supposed 	['I', 'was', 'kind', 'of', 'supposed']	[600.384, 600.736, 601.184, 601.472, 601.648]	[0.298, 0.362, 0.25, 0.154, 0.186]
to be headed for Aruba on 	['to', 'be', 'headed', 'for', 'Aruba', 'on']	[601.872, 602.048, 602.144, 602.454, 602.608, 603.094]	[0.154, 0.09, 0.294, 0.132, 0.47, 0.132]
my honeymoon. So 	['my', 'honeymoon.', 'So']	[603.248, 603.536, 604.182]	[0.234, 0.598, 0.212]
nothing. 	['nothing.']	[604.432]	[0.588]
Right? 	['Right?']	[607.39]	[0.412]
You're not even getting 	"[""You're"", 'not', 'even', 'getting']"	[607.856, 608.054, 608.208, 608.688]	[0.182, 0.132, 0.378, 0.266]
your no. 	['your', 'no.']	[608.992, 610.27]	[0.588, 0.412]
No Avoke 	['No', 'Avoke']	[610.736, 611.056]	[0.266, 0.578]
aruba this time of year. 	['aruba', 'this', 'time', 'of', 'year.']	[611.702, 612.698, 613.012, 613.188, 613.348]	[0.884, 0.276, 0.154, 0.138, 0.522]
Talk about your 	['Talk', 'about', 'your']	[614.02, 614.372, 614.612]	[0.314, 0.202, 0.588]
	[]	[]	[]
big lizards. 	['big', 'lizards.']	[616.53, 616.996]	[0.412, 0.874]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
Anyway, if you don't feel like 	"['Anyway,', 'if', 'you', ""don't"", 'feel', 'like']"	[622.47, 623.384, 623.688, 623.784, 623.934, 624.152]	[0.748, 0.282, 0.09, 0.134, 0.18, 0.154]
being alone tonight 	['being', 'alone', 'tonight']	[624.328, 624.552, 624.878]	[0.186, 0.294, 0.48]
Joey and Chandler are coming over to help me put 	['Joey', 'and', 'Chandler', 'are', 'coming', 'over', 'to', 'help', 'me', 'put']	[625.454, 625.838, 625.944, 626.254, 626.344, 626.488, 626.648, 626.808, 626.968, 627.064]	[0.352, 0.1, 0.294, 0.084, 0.122, 0.138, 0.138, 0.138, 0.09, 0.122]
together my new furniture. Yes, 	['together', 'my', 'new', 'furniture.', 'Yes,']	[627.208, 627.624, 627.784, 627.928, 628.526]	[0.33, 0.154, 0.122, 0.534, 0.228]
and we're very excited 	"['and', ""we're"", 'very', 'excited']"	[628.792, 628.968, 629.326, 629.656]	[0.154, 0.294, 0.276, 0.358]
about it. 	['about', 'it.']	[630.062, 630.376]	[0.26, 0.604]
Actually, thanks, but I 	['Actually,', 'thanks,', 'but', 'I']	[631.99, 632.584, 632.936, 633.128]	[0.508, 0.298, 0.17, 0.09]
think I'm just going to hang out 	"['think', ""I'm"", 'just', 'going', 'to', 'hang', 'out']"	[633.224, 633.368, 633.534, 633.704, 633.804, 634.076, 634.338]	[0.122, 0.15, 0.144, 0.094, 0.218, 0.23, 0.34]
here tonight. It's been a 	"['here', 'tonight.', ""It's"", 'been', 'a']"	[634.764, 635.052, 635.442, 635.762, 635.948]	[0.25, 0.342, 0.272, 0.164, 0.09]
long oh, sure. Okay, sure. 	['long', 'oh,', 'sure.', 'Okay,', 'sure.']	[636.044, 636.38, 636.588, 636.812, 637.052]	[0.266, 0.186, 0.186, 0.202, 0.442]
Hey, Phoebe, do you want to 	['Hey,', 'Phoebe,', 'do', 'you', 'want', 'to']	[637.612, 637.932, 638.258, 638.364, 638.444, 638.524]	[0.282, 0.294, 0.1, 0.074, 0.074, 0.122]
help? Oh, I wish I could, 	['help?', 'Oh,', 'I', 'wish', 'I', 'could,']	[638.668, 639.404, 639.772, 639.948, 640.178, 640.412]	[0.57, 0.33, 0.154, 0.198, 0.196, 0.202]
but I don't want to. 	"['but', 'I', ""don't"", 'want', 'to.']"	[640.652, 640.828, 640.924, 641.138, 641.308]	[0.154, 0.09, 0.182, 0.148, 0.572]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
Love is sweet 	['Love', 'is', 'sweet']	[651.13, 651.596, 651.916]	[0.412, 0.266, 0.406]
as summer 	['as', 'summer']	[652.386, 652.78]	[0.324, 0.598]
showers love is 	['showers', 'love', 'is']	[653.474, 654.322, 654.716]	[0.72, 0.34, 0.386]
wondrous work of 	['wondrous', 'work', 'of']	[655.196, 656.01, 656.484]	[0.734, 0.388, 0.298]
art but your 	['art', 'but', 'your']	[656.836, 657.476, 657.94]	[0.506, 0.394, 0.378]
love oh, your 	['love', 'oh,', 'your']	[658.404, 658.948, 659.316]	[0.442, 0.314, 0.41]
love your love 	['love', 'your', 'love']	[659.828, 660.388, 660.884]	[0.458, 0.41, 0.636]
	[]	[]	[]
is like a 	['is', 'like', 'a']	[663.17, 663.572, 663.748]	[0.364, 0.154, 0.186]
giant pigeon 	['giant', 'pigeon']	[663.972, 664.698]	[0.614, 0.932]
	[]	[]	[]
prepping 	['prepping']	[667.83]	[0.84]
on my heart 	['on', 'my', 'heart']	[668.75, 669.096, 669.544]	[0.292, 0.362, 0.636]
	[]	[]	[]
	[]	[]	[]
thank you, la 	['thank', 'you,', 'la']	[673.91, 674.312, 674.616]	[0.364, 0.25, 0.218]
la. 	['la.']	[674.872]	[0.588]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
I'm supposed to 	"[""I'm"", 'supposed', 'to']"	[684.49, 684.898, 685.068]	[0.376, 0.148, 0.138]
attach a brackety 	['attach', 'a', 'brackety']	[685.228, 685.81, 686.092]	[0.502, 0.244, 0.47]
thing to the side 	['thing', 'to', 'the', 'side']	[686.626, 686.956, 687.212, 687.452]	[0.276, 0.218, 0.202, 0.298]
things using a bunch 	['things', 'using', 'a', 'bunch']	[687.82, 688.81, 689.34, 689.548]	[0.62, 0.46, 0.186, 0.198]
of these little worm 	['of', 'these', 'little', 'worm']	[689.778, 689.948, 690.236, 690.492]	[0.148, 0.234, 0.218, 0.342]
guys. 	['guys.']	[690.882]	[0.598]
I have no 	['I', 'have', 'no']	[692.99, 693.648, 694.016]	[0.556, 0.314, 0.17]
brackety thing. I see 	['brackety', 'thing.', 'I', 'see']	[694.208, 694.742, 695.184, 695.536]	[0.486, 0.356, 0.298, 0.218]
no worm guys 	['no', 'worm', 'guys']	[695.792, 695.968, 696.294]	[0.154, 0.31, 0.276]
whatsoever and I 	['whatsoever', 'and', 'I']	[696.64, 697.798, 698.256]	[0.966, 0.404, 0.362]
cannot feel my 	['cannot', 'feel', 'my']	[698.704, 699.158, 699.392]	[0.422, 0.196, 0.202]
legs. 	['legs.']	[699.632]	[0.698]
	[]	[]	[]
I'm thinking. We 	"[""I'm"", 'thinking.', 'We']"	[703.95, 704.294, 704.512]	[0.328, 0.18, 0.154]
got a bookcase here. It's a beautiful 	"['got', 'a', 'bookcase', 'here.', ""It's"", 'a', 'beautiful']"	[704.688, 704.784, 704.928, 705.398, 705.588, 705.754, 705.908]	[0.09, 0.122, 0.418, 0.168, 0.15, 0.132, 0.282]
thing. 	['thing.']	[706.26]	[0.62]
What's 	"[""What's""]"	[708.37]	[0.456]
this? I would have to 	['this?', 'I', 'would', 'have', 'to']	[708.858, 709.81, 710.148, 710.372, 710.484]	[0.582, 0.316, 0.186, 0.106, 0.17]
say that it's an L 	"['say', 'that', ""it's"", 'an', 'L']"	[710.692, 710.932, 711.172, 711.354, 711.572]	[0.202, 0.202, 0.166, 0.18, 0.394]
shaped 	['shaped']	[712.068]	[0.838]
bracket. 	['bracket.']	[713.018]	[0.932]
Which goes where? 	['Which', 'goes', 'where?']	[715.33, 715.796, 716.116]	[0.412, 0.266, 0.41]
I have no 	['I', 'have', 'no']	[716.628, 716.868, 717.62]	[0.218, 0.582, 0.382]
idea. 	['idea.']	[718.056]	[0.604]
	[]	[]	[]
Done with the 	['Done', 'with', 'the']	[721.43, 721.768, 721.928]	[0.316, 0.138, 0.09]
bookcase. 	['bookcase.']	[722.024]	[0.746]
	[]	[]	[]
	[]	[]	[]
This was 	['This', 'was']	[727.83, 728.168]	[0.316, 0.186]
Carol's favorite 	"[""Carol's"", 'favorite']"	[728.392, 728.878]	[0.454, 0.464]
beer. 	['beer.']	[729.406]	[0.724]
She always drank it out of 	['She', 'always', 'drank', 'it', 'out', 'of']	[731.83, 732.168, 732.392, 732.654, 732.808, 732.904]	[0.316, 0.186, 0.246, 0.132, 0.09, 0.074]
the can. I should have. 	['the', 'can.', 'I', 'should', 'have.']	[732.984, 733.128, 733.608, 733.784, 733.928]	[0.122, 0.378, 0.17, 0.122, 0.572]
	[]	[]	[]
	[]	[]	[]
Hey, 	['Hey,']	[737.43]	[0.75]
if you're going to start with that 	"['if', ""you're"", 'going', 'to', 'start', 'with', 'that']"	[738.89, 739.42, 739.628, 739.724, 739.804, 740.012, 740.188]	[0.46, 0.186, 0.09, 0.074, 0.17, 0.154, 0.186]
stuff, we're out of here. Yes, please 	"['stuff,', ""we're"", 'out', 'of', 'here.', 'Yes,', 'please']"	[740.412, 740.716, 740.914, 741.068, 741.164, 741.436, 741.756]	[0.25, 0.182, 0.132, 0.09, 0.218, 0.266, 0.218]
don't spoil all this 	"[""don't"", 'spoil', 'all', 'this']"	[742.012, 742.258, 742.61, 743.152]	[0.214, 0.332, 0.424, 0.33]
fun. 	['fun.']	[743.536]	[0.604]
Ross, let me ask you a question. 	['Ross,', 'let', 'me', 'ask', 'you', 'a', 'question.']	[744.67, 745.142, 745.328, 745.424, 745.568, 745.728, 745.888]	[0.424, 0.164, 0.09, 0.122, 0.138, 0.138, 0.378]
She got the 	['She', 'got', 'the']	[746.368, 746.736, 747.12]	[0.314, 0.314, 0.186]
furniture, the stereo, 	['furniture,', 'the', 'stereo,']	[747.328, 748.198, 748.512]	[0.758, 0.276, 0.646]
the good TV 	['the', 'good', 'TV']	[749.254, 749.552, 749.856]	[0.26, 0.25, 0.742]
what did you get? 	['what', 'did', 'you', 'get?']	[750.774, 751.088, 751.312, 751.488]	[0.292, 0.186, 0.154, 0.572]
You guys? Oh, 	['You', 'guys?', 'Oh,']	[752.83, 753.232, 753.6]	[0.364, 0.298, 0.234]
God. You got. Oh, my 	['God.', 'You', 'got.', 'Oh,', 'my']	[753.872, 754.176, 754.432, 754.864, 755.088]	[0.25, 0.218, 0.346, 0.202, 0.282]
God. Oh, 	['God.', 'Oh,']	[755.44, 756.352]	[0.714, 0.314]
my God. I 	['my', 'God.', 'I']	[756.688, 756.976, 757.872]	[0.234, 0.698, 0.362]
know. I'm such an 	"['know.', ""I'm"", 'such', 'an']"	[758.272, 758.512, 758.854, 759.092]	[0.202, 0.306, 0.2, 0.154]
idiot. I guess 	['idiot.', 'I', 'guess']	[759.268, 760.93, 761.204]	[0.762, 0.268, 0.17]
I should have caught on when you started going 	['I', 'should', 'have', 'caught', 'on', 'when', 'you', 'started', 'going']	[761.412, 761.524, 761.668, 761.828, 761.994, 762.148, 762.308, 762.468, 762.692]	[0.106, 0.122, 0.138, 0.15, 0.132, 0.138, 0.138, 0.186, 0.154]
to the dentist four and 	['to', 'the', 'dentist', 'four', 'and']	[762.868, 762.964, 763.108, 763.626, 763.892]	[0.09, 0.122, 0.454, 0.228, 0.202]
five times a week. I 	['five', 'times', 'a', 'week.', 'I']	[764.132, 764.436, 764.756, 764.948, 765.62]	[0.25, 0.266, 0.17, 0.522, 0.218]
mean, how clean can teeth 	['mean,', 'how', 'clean', 'can', 'teeth']	[765.844, 765.988, 766.148, 766.436, 766.628]	[0.122, 0.138, 0.234, 0.17, 0.246]
get? My brother's 	"['get?', 'My', ""brother's""]"	[766.922, 768.05, 768.388]	[0.598, 0.316, 0.358]
going through that right now. He's 	"['going', 'through', 'that', 'right', 'now.', ""He's""]"	[768.778, 768.948, 769.108, 769.268, 769.428, 769.844]	[0.148, 0.138, 0.138, 0.138, 0.33, 0.262]
such a mess. How did you get through 	['such', 'a', 'mess.', 'How', 'did', 'you', 'get', 'through']	[770.138, 770.372, 770.484, 770.948, 771.188, 771.348, 771.444, 771.588]	[0.196, 0.106, 0.362, 0.218, 0.138, 0.09, 0.122, 0.186]
